Tahun,#Motor
1996-12-31,436552
1997-12-31,494057
1998-12-31,544877
1999-12-31,530226
2000-12-31,578182
2001-12-31,680371
2002-12-31,734919
2003-12-31,773653
2004-12-31,898675
2005-12-31,1035516
2006-12-31,1088627
2007-12-31,1157205
2008-12-31,1227617
2009-12-31,1317026
2010-12-31,1449279
2011-12-31,2154568
2012-12-31,2374604
2013-12-31,2586715
2014-12-31,2811192
2015-12-31,3015287
2016-12-31,3184947
2017-12-31,3337326
2018-12-31,3516415
2019-12-31,3718636
2020-12-31,3811957
2021-12-31,3877595
