userName,score,at,content
Christine Napitupulu,2,2022-04-23 12:19:40,"Saya mau download sertifikat vaksin perjalanan ke luar negeri, tapi hasilnya tidak kelihatan di folder manapun baik berbentuk pdf maupun image. Mohon bantuannya, karena mau berangkat keluar negeri🙏"
Alle Jandro,2,2022-04-23 11:20:59,"Warna masih merah, padahal sudah vaksin sampai ke 3 (booster),jadi susah kalo mau berpergian dan ke tempat publik, sudah kontak 119 susah banget di hubungi, wa ke Kemenkes kurang bisa membantu..bingung jadi mau ke mana lagi biar status bisa berubah."
Sinta Aliyudin,1,2022-04-23 07:20:02,"Saya sudah vaksin ke 3 tapi sertifikat tidak ada di aplikasi, saya sudah coba ikutin cara supaya bisa muncul malah tgl yg di masukan tidak sesuai padahal saya tulis sesuai waktu saya vaksin"
Suci Anti,2,2022-04-23 07:12:08,"Tolong diperbaikiii lagi please....! Gak semua hp punya versi android terbaru,di handpone ibuku gak bisa download aplikasi ini,katanya perangkat tidak mendukung,trus klo sewaktu waktu ditnya n disuruh scan klo mudik gimana caranyaa...?? Sudah sulit dipersulit pula kan kasian."
Lina Karlina,1,2022-04-23 06:41:18,"Tolong yg buat aplikasinya perbaiki lagi, masa sertifikat aja harus klaim segala sih mana kalalendernya seperti itu, harusnya ada opsi lain misalnya dtulis manual nggak semua yg vaksin lahir ditahun 2021 yg lahiran 90 an kan jdi susah mana lma lgi milih tahunnya harus mundur belakang. Belum lagi kagak bisa klaim sertifikat harus coba lagi lain waktu, kgk kayak sebelumnya lebih gampang ga harus klaim2 udh vaksin langsung muncul sertifikatnya."
iGun Gunadi,1,2022-04-23 03:43:47,"Bisa bikin aplikasi ga sih? Masukin tanggal lahir aja susah bener gara2 tampilan kayak gitu harus mencet satu2 dari tahun ketahun, Udah jauh2 tiba2 kembali sendiri."
SHERLY EMBAR PRATIWI MUGI ANGGRAINY,2,2022-04-23 03:18:17,"Ini kenapa apk saya kok tidak bisa scang Qr dimall ya,padahal udah dipebarui kalau ada notif pembaruan? Tolong bantuannya kemarin saya tidak bisa masuk mall gara"" ini"
Nur Wichan,4,2022-04-22 22:52:30,Min kenapa sekarang aplikasinya saat check in gak ada notifikasi nya...kan mau checkout juga susah...apa nantinya udah checkout sendiri...sebenarnya udah bagus bisa checkin sendiri atau grup...ya itu tadi habis check in biasanya ada notifikasi sekarang gak ada...riwayat perjalanan juga gak ada...
DIDIEKDJ02,2,2022-04-22 18:43:49,"maaf aplikasi kok lelet gak bisa kebuka terus padalan kuota masih penuh,tolong aplikasi diperbaiki,hanya pedulilindungi yang lelet tidak dapat masuk,sinyal jaringan setabil dan penuh"
Chatrina Pramesty Okta Rindiati,1,2022-04-22 18:07:07,"Setelah di update, justru tidak bisa di buka. Bagaimana mau di gunakan kalau aplikasinya di buka saja tidak bisa 👎🏻"
39_Yudi Prasetyo,2,2022-04-22 12:29:05,"Kenapa saat claim sertifikat ke 2 selalu gagal yah, sudah dicoba berulang2 tetap gagal. Jadi gk bisa kemana2 dong kali begini tolong solusinya. Bintang 2 dulu kalau sudah bisa baru bintang lima"
Bahrul Ilmi,1,2022-04-22 09:49:02,"sertifikat vaksin ke-2 hilang, sebelum update masih ada, setelah update malah ilang. menyusahkan saat akan melakukan perjalanan karena harus swab padahal masih di bawah 18 tahun dan sudah vaksin ke-2, tpi bukti sertifikat vaksin ke-2 hilang entah kmn"
Rinti Wulandari,1,2022-04-22 09:02:14,Udah di perbarui malah makin mempersulit gk bisa klaim/download sertifikat vaksin udah 2x diperbarui malah tetap sama!bukanny mempermudah malah mempersulit... Pertama Download pedulindungi gampang setelah diperbarui malah gk bisa klaim/download sertifikat!!!!
Dang Vanda,1,2022-04-22 03:27:30,Aplikasi terbarunya .tidak seperti aplikasi sebelumnya *Ada riwayat chek in dan chek out *Chek out tidak perlu scan kembali hanya tinggal klik tombol chek out...
stevani virginia,4,2022-04-22 03:17:33,"Tdak bisa cek in masuk kantor, hari sebelumnya tdak cek out krna selama ini terbiasa fitur cek out otomatis. Mau cek out tdak ada pilihan dimenu stlah tampilan scan berubah cek out otomatis sdah tdk fungsi lgi."
Vincent User,1,2022-04-21 23:12:20,"Aplikasi yg menyulitkan, ketika dibuka ambyar coba tolong aplikasi publik semacam ini diperbaiki supaya penggunanya tidak dibuat repot keluar masuk/install ulang 😥"
bhandi prima,1,2022-04-21 20:15:05,Ini niat gk sih bikin aplikasi. Kl masih kaleng2 jgn coba2 bikin aplikasi yg sifatnya penting sprti ini lah. Masa iya hasil test antigen saya tiba2 ilang. 1 jam setelah test masih ada skrg pas mau brangkat dibandara malah ilang. Brengsek
Eko Setiadi,5,2022-04-21 16:43:51,Aplikasi punya saya tidak bisa klaim sertifikat. Padahal sudah susah payah isi data pribadi dengan benar tapi balik lagi ke awal untuk isi data lagi. Input tanggal lahir bulan tahun nya yang bikin cape. Perbaiki dong Peduli lindungi. Kalau sudah di perbaiki saya kasih bintang 5
miftah pekalongan,1,2022-04-21 14:28:06,Sertifikat vaksin boster tidak terbit padahal sudah 2 bulan. Klaim sertifikat keterangan tanggal lahir tidak sesuai. Padahal sudah diisi benar. Payah...
Nazwa agni,2,2022-04-21 13:12:38,"gimana ya malah klaim vaksin tidak bisa bisa.. server sibuk suruh kembali besok,dicoba lagi besok di jam yang berbeda tetap saja tidak bisa. sementara kita perlu dan wajib punya sertifikatnya.. ini gimana ya coba di perhatikan lagi."
Rasya Alynsky,2,2022-04-21 12:08:53,"Developer pliss aplikasi di rubah dengan normal, saya sudah mencoba daftar beberapa kali tapi coba kembali terus, APLIKASI TOLONG DI NORMALKAN."
RINDI WIDIE,2,2022-04-21 12:07:41,Aplikasi harus ada perbaikan lagi karena ada sebagian orang yg tidak bisa kebuka datanya saat di aplikasi ini tp di buka di google bisa..ini kan aneh..di google bisa buka sertifikat vaksin tp pas data di masukin ke aplikasi ini gak bisa.?? Dan ada lg ke jadian scan barkot gagal tp setelah di uninstall dan di install LG dia bisa...kok bisa yaa jd harus di perbaiki LG ini aplikasi untuk saran saya..
